ISIN Code,Lowest Accepted Yield,Average Yield,Highest Accepted Yield,Average Rate of Discount (%),Average Price per £100 Nominal (£),Tail (In Yield Terms),Amount Tendered For (£),Amount On Offer (£),Bid to Cover Ratio,Amount Allocated (£),Maturity (Months),Maturity Date,Highest Yield % Filled,Date
GB00B6GZ9B45,0.433,0.4653,0.47100000000000003,0.464761,99.884128117316,0.005699999999999999,4456950000,1000000000,4.46,999999500.0,3,2011-12-12,0.11,2011-09-09
GB00B6H18C50,0.47,0.487041,0.495,0.485861,99.75773502798201,0.007959,5628250000,1500000000,3.75,1499970900.0,6,2012-03-12,28.42,2011-09-09
GB00B3NJQ288,0.44,0.468316,0.49,0.468148,99.964087290902,0.021684000000000002,4744500000,1500000000,3.16,1499976500.0,1,2011-10-17,30.67,2011-09-16
GB00B6GXGG27,0.44,0.472125,0.4970000000000001,0.47157,99.88243051183599,0.024875,3193900000,1000000000,3.19,1000000000.0,3,2011-12-19,43.7,2011-09-16
GB00B6GZMW68,0.475,0.487759,0.494,0.486576,99.75737874541099,0.006241,5650000000,1500000000,3.77,1499990000.0,6,2012-03-19,54.28,2011-09-16
GB00B6H1LX77,0.44,0.485441,0.4920000000000001,0.4842690000000001,99.758528981583,0.006559000000000001,4242850000,1500000000,2.83,1500000000.0,6,2012-03-26,8.92,2011-09-23
GB00B6GZMC62,0.42,0.460451,0.475,0.459911,99.88281708767201,0.014549000000000001,3702500000,1000000000,3.7,1000000000.0,3,2011-12-28,76.0,2011-09-23
GB00B6GY3V99,0.42,0.44488900000000003,0.45899999999999996,0.444737,99.96588317232,0.014111000000000004,4163300000,1000000000,4.16,999999400.0,1,2011-10-24,45.94,2011-09-23
GB00B6GY9F51,0.423,0.443862,0.45,0.44371099999999997,99.96596190219499,0.006138,4577300000,1000000000,4.58,999968320.0,1,2011-10-31,84.56,2011-09-30
GB00B6GZSH38,0.43,0.464574,0.47600000000000003,0.464031,99.88303885517401,0.011426,4236200000,1000000000,4.24,1000000000.0,3,2012-01-03,92.0,2011-09-30
GB00B6H1RN99,0.46,0.482304,0.491,0.4811470000000001,99.76008566354099,0.008695999999999999,5483500000,1500000000,3.66,1499982500.0,6,2012-04-02,6.61,2011-09-30
GB00B6GYDF38,0.42,0.440736,0.445,0.440587,99.96620154228901,0.004264,4016150000,1000000000,4.02,999993350.0,1,2011-11-07,94.49,2011-10-07
GB00B6GZWF91,0.44,0.4639430000000001,0.475,0.46340699999999996,99.88446565542299,0.011056999999999999,4220550000,1000000000,4.22,999998480.0,3,2012-01-09,32.88,2011-10-07
GB00B6H1WP66,0.46,0.495569,0.5,0.494341,99.752152448715,0.004431,4096500000,1500000000,2.73,1499916000.0,6,2012-04-10,62.72,2011-10-07
GB00B6GYL046,0.4,0.423694,0.439,0.42355600000000004,99.96750800730301,0.015306,2830700000,500000000,5.66,499996000.0,1,2011-11-14,3.84,2011-10-14
GB00B6GY3S60,0.41600000000000004,0.46201000000000003,0.47,0.461478,99.884946470827,0.00799,4417900000,1000000000,4.42,999992750.0,3,2012-01-16,56.75,2011-10-14
GB00B6H09636,0.45,0.489187,0.498,0.487997,99.756670157557,0.008813,4294450000,1500000000,2.86,1499997700.0,6,2012-04-16,90.91,2011-10-14
GB00B3NYGZ68,0.41,0.417335,0.42,0.41720100000000004,99.967995506429,0.0026650000000000003,2353300000,500000000,4.71,499969520.0,1,2011-11-21,57.12,2011-10-21
